Country,Year,Month,Imports,Exports,Trade Volume
United States,2007,8,3836.1,3354.2,7190.299999999999
China,2006,10,3452.5,3734.8,7187.3
United States,2007,9,3994.2,3188.8,7183.0
United States,2006,2,3842.8,3325.0,7167.8
China,2005,12,3719.3,3447.5,7166.8
United States,2005,8,3761.6,3400.6,7162.2
United States,2012,10,4347.8,2813.2,7161.0
Malaysia,2004,11,3380.2,3780.7,7160.9
China,2009,11,3545.4,3596.6,7142.0
United States,2006,5,3694.7,3442.8,7137.5
United States,2008,6,4448.1,2688.1,7136.200000000001
United States,2010,4,4362.2,2771.0,7133.2
Malaysia,2004,4,3368.8,3762.1,7130.9
Hong Kong,2022,4,360.9,6769.2,7130.099999999999
United States,2005,11,3409.6,3717.4,7127.0
United States,2008,8,4448.9,2654.6,7103.5
China,2009,9,3573.1,3529.5,7102.6
United States,2017,8,4152.3,2929.6,7081.9
United States,2011,11,4911.7,2166.2,7077.9
Malaysia,2003,10,3371.2,3703.1,7074.299999999999
United States,2008,5,4407.5,2659.6,7067.1
United States,2007,11,3911.9,3149.8,7061.700000000001
United States,2008,7,4435.9,2625.5,7061.4
United States,2010,9,3881.9,3169.5,7051.4
Malaysia,2015,2,3363.2,3684.9,7048.1
Hong Kong,2021,6,439.7,6598.2,7037.9
South Korea,2022,6,4120.9,2916.0,7036.9
United States,2017,3,4107.9,2922.8,7030.7
Hong Kong,2022,1,514.1,6509.7,7023.8
United States,2018,1,3792.7,3230.5,7023.2
Malaysia,2004,5,3300.4,3694.9,6995.3
Malaysia,2003,12,3375.9,3589.6,6965.5
United States,2012,2,4120.4,2836.9,6957.299999999999
United States,2006,4,3484.8,3469.7,6954.5
China,2006,5,3432.1,3500.2,6932.299999999999
Malaysia,2020,5,4002.2,2929.9,6932.1
United States,2011,4,4235.1,2692.0,6927.1
United States,2014,10,4278.8,2617.2,6896.0
United States,2017,10,4039.3,2838.9,6878.200000000001
United States,2010,8,3911.5,2963.9,6875.4
United States,2007,2,3744.0,3125.7,6869.7
Hong Kong,2018,8,398.6,6468.6,6867.200000000001
United States,2014,12,4534.5,2330.1,6864.6
Hong Kong,2024,4,184.7,6662.9,6847.599999999999
United States,2013,7,4349.8,2478.2,6828.0
United States,2013,10,4037.2,2785.1,6822.299999999999
United States,2017,6,4129.1,2690.3,6819.400000000001
United States,2014,3,4622.1,2197.3,6819.400000000001
Hong Kong,2021,7,318.0,6494.7,6812.7
United States,2005,12,3397.5,3413.3,6810.8
United States,2017,12,4169.5,2637.0,6806.5
United States,2012,3,4352.3,2445.9,6798.200000000001
United States,2010,3,4478.3,2316.6,6794.9
Malaysia,2003,7,3206.9,3584.3,6791.200000000001
Hong Kong,2024,5,678.4,6111.3,6789.7
United States,2013,11,3886.9,2900.6,6787.5
Hong Kong,2022,8,319.5,6466.3,6785.8
United States,2015,9,4090.0,2691.8,6781.8
United States,2007,12,3968.2,2813.3,6781.5
South Korea,2022,7,4382.6,2397.6,6780.200000000001
Hong Kong,2017,7,667.6,6101.2,6768.8
Hong Kong,2021,10,370.1,6395.5,6765.6
China,2009,10,3382.1,3381.1,6763.2
Hong Kong,2022,7,624.4,6138.6,6763.0
South Korea,2024,1,4087.8,2659.5,6747.3
United States,2013,8,4266.6,2477.6,6744.200000000001
Malaysia,2003,9,3208.0,3535.0,6743.0
Malaysia,2009,4,3259.9,3478.1,6738.0
China,2009,7,3408.2,3321.3,6729.5
Hong Kong,2022,2,210.0,6514.8,6724.8
United States,2010,7,4234.4,2479.6,6714.0
Hong Kong,2020,12,762.8,5941.2,6704.0
China,2006,4,3461.6,3227.5,6689.1
United States,2015,10,3976.8,2710.9,6687.700000000001
Hong Kong,2023,10,227.0,6448.1,6675.1
United States,2017,11,3916.7,2748.5,6665.2
United States,2004,3,3473.1,3190.3,6663.4
Malaysia,2009,5,3182.4,3476.0,6658.4
United States,2012,5,4470.2,2181.0,6651.2
China,2006,7,3517.9,3132.0,6649.9
China,2008,2,3526.9,3120.0,6646.9
Malaysia,2003,4,3150.0,3479.3,6629.3
Malaysia,2016,2,3091.1,3536.2,6627.299999999999
Malaysia,2008,12,3180.5,3444.3,6624.8
Hong Kong,2018,10,442.8,6179.6,6622.400000000001
China,2011,2,3102.1,3514.3,6616.4
Hong Kong,2021,4,300.5,6289.3,6589.8
United States,2011,12,4392.0,2188.7,6580.7
United States,2005,9,3291.8,3282.5,6574.3
United States,2016,11,3989.9,2575.1,6565.0
Hong Kong,2024,8,379.7,6176.6,6556.3
United States,2010,6,4088.0,2460.5,6548.5
United States,2008,11,3864.9,2674.5,6539.4
Malaysia,2009,3,3293.7,3243.7,6537.4
Hong Kong,2023,12,212.6,6319.6,6532.200000000001
Malaysia,2003,8,3158.2,3368.2,6526.4
South Korea,2025,1,3785.7,2738.9,6524.6
Hong Kong,2015,12,1014.7,5506.8,6521.5
China,2005,8,3434.8,3080.7,6515.5
United States,2013,4,4033.5,2474.1,6507.6
United States,2017,7,3775.7,2726.9,6502.6
United States,2005,3,3241.6,3257.1,6498.7
United States,2005,7,3236.7,3258.8,6495.5
Hong Kong,2024,1,201.8,6290.9,6492.7
Hong Kong,2024,2,354.7,6132.8,6487.5
United States,2011,6,4165.6,2313.3,6478.900000000001
China,2007,2,3611.3,2859.9,6471.200000000001
Hong Kong,2018,9,467.7,5994.0,6461.7
United States,2015,4,3894.4,2565.9,6460.3
Hong Kong,2025,2,563.9,5894.0,6457.9
Hong Kong,2023,3,364.9,6082.6,6447.5
United States,2015,6,4026.5,2418.4,6444.9
Hong Kong,2023,11,213.8,6230.3,6444.1
China,2009,3,3041.8,3399.8,6441.6
United States,2012,1,4089.9,2336.7,6426.6
United States,2011,5,4030.9,2395.6,6426.5
United States,2004,8,2984.2,3437.6,6421.799999999999
United States,2011,3,4017.2,2402.7,6419.9
South Korea,2022,3,4028.5,2390.7,6419.2
United States,2017,4,3870.7,2547.1,6417.799999999999
Hong Kong,2017,3,740.8,5675.2,6416.0
Hong Kong,2017,11,373.9,6033.1,6407.0
Malaysia,2003,5,3143.8,3262.7,6406.5
United States,2015,7,3627.6,2769.8,6397.4
United States,2016,12,3920.1,2473.4,6393.5
United States,2017,1,3903.9,2487.9,6391.8
Hong Kong,2016,11,652.1,5737.3,6389.400000000001
Malaysia,2003,11,3119.8,3266.7,6386.5
United States,2004,6,3051.4,3334.3,6385.700000000001
United States,2010,11,3936.6,2445.6,6382.2
Hong Kong,2017,8,317.4,6057.0,6374.4
United States,2005,4,3312.1,3062.1,6374.2
Hong Kong,2018,11,354.9,6017.4,6372.299999999999
Hong Kong,2024,3,427.5,5943.3,6370.8
Malaysia,2003,3,3172.3,3197.7,6370.0
China,2008,12,3335.9,3031.9,6367.8
Malaysia,2005,2,3011.2,3354.7,6365.9
Malaysia,2004,2,3077.1,3284.3,6361.4
United States,2013,1,4229.6,2120.8,6350.400000000001
United States,2014,1,4116.6,2231.0,6347.6
Hong Kong,2020,10,551.3,5784.2,6335.5
United States,2008,12,3972.7,2360.3,6333.0
South Korea,2024,12,3675.7,2648.0,6323.7
United States,2016,8,3664.3,2659.1,6323.4
China,2005,10,3049.4,3265.4,6314.8
United States,2003,10,3206.2,3107.7,6313.9
Malaysia,2020,4,3387.4,2898.1,6285.5
United States,2011,7,4018.2,2265.9,6284.1
Hong Kong,2018,7,451.9,5828.1,6280.0
United States,2018,2,3297.0,2980.4,6277.4
Malaysia,2003,6,3032.1,3240.9,6273.0
United States,2012,7,4174.0,2096.2,6270.2
United States,2005,6,3039.2,3229.6,6268.799999999999
United States,2010,5,3970.4,2297.3,6267.700000000001
United States,2017,9,3647.5,2619.3,6266.8
Hong Kong,2023,6,297.7,5967.8,6265.5
United States,2016,3,3759.6,2500.8,6260.4
South Korea,2022,8,3841.8,2412.7,6254.5
United States,2015,8,3623.1,2629.7,6252.799999999999
Malaysia,2003,1,3003.6,3226.7,6230.299999999999
United States,2004,9,2794.8,3414.5,6209.3
China,2005,11,3097.6,3105.8,6203.4
United States,2010,12,3789.9,2408.2,6198.1
United States,2015,12,3736.5,2456.7,6193.2
Hong Kong,2020,3,364.2,5823.7,6187.9
China,2008,11,3471.2,2716.5,6187.7
United States,2016,4,3679.5,2505.0,6184.5
United States,2012,8,4030.2,2148.8,6179.0
Hong Kong,2023,7,314.4,5863.8,6178.2
China,2009,8,3169.0,3005.4,6174.4
Japan,2022,5,3842.9,2329.5,6172.4
United States,2006,1,3082.7,3086.0,6168.7
United States,2015,11,3914.7,2235.5,6150.2
China,2009,6,3165.1,2973.6,6138.7
Hong Kong,2021,1,441.0,5693.7,6134.7
Hong Kong,2020,11,450.6,5671.8,6122.400000000001
Malaysia,2004,1,2934.5,3187.1,6121.6
United States,2011,1,3571.6,2535.8,6107.4
Japan,2022,3,3429.9,2673.3,6103.200000000001
United States,2011,8,3975.4,2125.8,6101.200000000001
United States,2015,1,3823.2,2275.0,6098.2
China,2006,1,3168.3,2927.6,6095.9
Hong Kong,2017,5,1010.0,5079.8,6089.8
United States,2013,5,3800.3,2288.1,6088.4
United States,2009,12,3702.2,2378.7,6080.9
United States,2004,10,2735.2,3344.1,6079.299999999999
Hong Kong,2020,9,479.1,5594.8,6073.900000000001
South Korea,2022,12,3207.3,2865.7,6073.0
Hong Kong,2013,10,429.2,5641.4,6070.599999999999
United States,2004,5,3037.6,3027.8,6065.4
United States,2016,5,3557.1,2505.9,6063.0
Hong Kong,2018,6,539.2,5516.8,6056.0
United States,2014,8,3677.1,2378.7,6055.799999999999
United States,2014,11,3981.1,2071.3,6052.4
United States,2016,10,3448.6,2602.4,6051.0
United States,2016,6,3444.9,2604.3,6049.200000000001
Hong Kong,2024,9,476.6,5568.4,6045.0
Hong Kong,2023,8,197.9,5844.2,6042.099999999999
United States,2013,6,3755.9,2277.3,6033.200000000001
United States,2012,4,3807.0,2225.9,6032.9
United States,2013,3,3799.2,2227.9,6027.1
China,2005,9,3086.9,2939.6,6026.5
United States,2009,11,3672.7,2350.6,6023.299999999999
United States,2009,9,3586.4,2435.8,6022.200000000001
Hong Kong,2016,12,531.5,5483.1,6014.6
South Korea,2022,9,3113.8,2896.1,6009.9
China,2010,2,2842.0,3167.0,6009.0
Hong Kong,2013,9,314.5,5693.8,6008.3
United States,2016,7,3377.7,2626.6,6004.299999999999
United States,2012,6,3886.6,2106.1,5992.7
United States,2011,9,3917.3,2067.1,5984.4
China,2009,4,2746.9,3231.1,5978.0
United States,2004,4,2989.8,2988.0,5977.8
China,2006,2,2848.3,3121.6,5969.9
United States,2005,5,2966.6,3002.1,5968.7
United States,2016,9,3515.2,2450.7,5965.9
United States,2011,10,3710.9,2250.2,5961.1
United States,2003,3,3243.2,2705.7,5948.9
United States,2009,10,3468.8,2479.6,5948.4
Hong Kong,2014,1,331.8,5614.7,5946.5
Hong Kong,2024,10,386.8,5554.0,5940.8
United States,2014,7,3513.8,2425.6,5939.4
United States,2014,5,3937.6,1988.0,5925.6
United States,2014,2,3937.7,1968.2,5905.9
South Korea,2022,4,3557.6,2343.8,5901.4
Hong Kong,2010,8,452.8,5446.3,5899.1
South Korea,2021,12,3432.7,2447.0,5879.7
United States,2014,9,3513.7,2363.8,5877.5
Hong Kong,2017,10,910.5,4964.7,5875.2
United States,2010,1,3656.2,2218.0,5874.2
Hong Kong,2021,2,350.8,5518.3,5869.1
Hong Kong,2012,11,316.9,5551.5,5868.4
United States,2013,12,3694.0,2168.6,5862.6
United States,2012,9,3833.3,2019.8,5853.1
China,2009,5,2853.9,2992.6,5846.5
Hong Kong,2017,6,424.5,5419.3,5843.8
United States,2015,5,3504.0,2330.8,5834.8
South Korea,2022,5,3678.2,2146.7,5824.9
Hong Kong,2018,5,505.2,5310.4,5815.599999999999
Hong Kong,2019,11,501.7,5305.3,5807.0
Hong Kong,2018,3,470.2,5324.8,5795.0
Japan,2022,7,3440.4,2327.1,5767.5
United States,2004,12,2562.9,3197.6,5760.5
Hong Kong,2012,4,370.4,5380.5,5750.9
South Korea,2023,6,2665.9,3083.0,5748.9
Hong Kong,2019,4,649.9,5098.4,5748.299999999999
Japan,2022,4,3273.5,2464.5,5738.0
Hong Kong,2014,3,617.7,5089.3,5707.0
Hong Kong,2019,12,705.2,4989.8,5695.0
United States,2014,6,3545.7,2145.9,5691.6
Hong Kong,2020,4,302.9,5387.1,5690.0
United States,2003,9,2741.4,2945.5,5686.9
United States,2009,8,3558.6,2122.8,5681.4
Hong Kong,2019,8,354.8,5317.2,5672.0
Hong Kong,2019,10,350.7,5319.0,5669.7
Japan,2022,6,3194.7,2472.9,5667.6
South Korea,2024,3,3269.5,2366.3,5635.8
Hong Kong,2010,9,393.4,5239.4,5632.799999999999
Hong Kong,2019,5,249.6,5383.1,5632.700000000001
United States,2012,11,3543.7,2076.7,5620.4
Hong Kong,2013,11,264.3,5343.8,5608.1
China,2005,7,2828.9,2772.6,5601.5
Hong Kong,2016,9,343.6,5255.1,5598.700000000001
Japan,2022,9,3109.5,2481.4,5590.9
Hong Kong,2017,9,357.3,5232.2,5589.5
Malaysia,2009,2,2711.5,2873.0,5584.5
South Korea,2023,3,2828.3,2753.8,5582.1
Japan,2008,7,3686.4,1890.6,5577.0
United States,2009,3,3471.4,2097.5,5568.9
Hong Kong,2020,8,460.3,5104.8,5565.1
United States,2009,1,3666.3,1895.8,5562.1
United States,2004,11,2446.3,3115.3,5561.6
Hong Kong,2020,7,528.7,5031.9,5560.599999999999
Japan,2008,3,3463.7,2096.7,5560.4
South Korea,2023,12,3166.3,2390.8,5557.1
South Korea,2024,7,3390.7,2157.3,5548.0
South Korea,2024,4,3089.1,2444.0,5533.1
Hong Kong,2014,10,436.8,5094.4,5531.2
South Korea,2024,5,3117.1,2404.2,5521.299999999999
United States,2011,2,3478.8,2041.5,5520.3
Hong Kong,2011,11,349.8,5169.9,5519.7
Japan,2008,4,3301.3,2203.9,5505.200000000001
United States,2005,2,2626.9,2874.7,5501.6
Hong Kong,2015,1,276.7,5221.5,5498.2
Japan,2008,6,3352.4,2135.1,5487.5
Malaysia,2009,1,2691.4,2794.8,5486.200000000001
Hong Kong,2016,4,333.8,5149.6,5483.400000000001
South Korea,2022,1,3341.6,2139.5,5481.1
Hong Kong,2024,6,201.3,5272.4,5473.7
Hong Kong,2022,11,169.2,5302.4,5471.599999999999
South Korea,2025,2,3166.0,2297.6,5463.6
United States,2003,8,2827.8,2634.3,5462.1
Japan,2011,3,3593.8,1863.7,5457.5
United States,2013,2,3785.9,1666.2,5452.1
Hong Kong,2024,7,240.5,5208.4,5448.9
United States,2017,2,3281.6,2165.8,5447.4
Hong Kong,2016,10,362.5,5083.4,5445.9
Japan,2022,10,3038.9,2406.7,5445.6
Japan,2023,3,3083.0,2358.7,5441.7
Hong Kong,2014,9,389.7,5051.8,5441.5
Hong Kong,2019,1,302.4,5133.1,5435.5
United States,2003,6,2478.8,2955.3,5434.1
Hong Kong,2020,6,536.1,4886.4,5422.5
Hong Kong,2019,9,304.6,5117.6,5422.200000000001
United States,2005,1,2432.7,2985.5,5418.2
Japan,2022,8,3100.7,2311.8,5412.5
Hong Kong,2012,10,310.8,5097.7,5408.5
South Korea,2023,10,3180.5,2222.8,5403.3
Hong Kong,2011,9,321.2,5077.1,5398.3
United States,2012,12,3502.0,1895.1,5397.1
South Korea,2024,10,3000.3,2383.0,5383.3
United States,2016,1,3128.8,2253.5,5382.3
South Korea,2022,10,3044.6,2330.1,5374.7
Malaysia,2003,2,2591.4,2783.1,5374.5
South Korea,2021,11,3111.7,2260.6,5372.299999999999
South Korea,2024,9,3041.7,2328.8,5370.5
China,2004,12,2740.7,2623.6,5364.299999999999
Hong Kong,2016,6,288.5,5070.8,5359.3
United States,2009,7,3420.6,1937.6,5358.2
Hong Kong,2010,10,327.0,5022.8,5349.8
United States,2003,4,2544.3,2800.7,5345.0
Hong Kong,2022,10,207.2,5137.2,5344.4
Hong Kong,2010,3,485.1,4858.2,5343.3
Hong Kong,2020,2,226.7,5116.6,5343.3
Hong Kong,2016,8,260.4,5082.9,5343.299999999999
Hong Kong,2011,1,350.0,4992.6,5342.6
Japan,2022,11,2837.7,2504.5,5342.2
United States,2009,6,3148.2,2182.2,5330.4
South Korea,2024,6,3022.2,2302.8,5325.0
Hong Kong,2012,3,305.9,5008.9,5314.799999999999
Japan,2018,10,2830.2,2475.0,5305.2
South Korea,2023,11,3103.3,2201.5,5304.8
Hong Kong,2019,3,539.1,4761.0,5300.1
Hong Kong,2016,7,279.4,5020.1,5299.5
Hong Kong,2018,1,295.2,4990.6,5285.8
Hong Kong,2018,12,346.4,4936.3,5282.7
China,2005,3,2746.8,2534.3,5281.1
United States,2010,2,3324.1,1956.3,5280.4
Hong Kong,2008,9,525.6,4749.9,5275.5
United States,2003,12,2384.6,2887.8,5272.4
China,2004,9,2711.6,2557.3,5268.9
Hong Kong,2016,3,392.8,4871.8,5264.6
Japan,2021,12,2802.5,2462.0,5264.5
Hong Kong,2015,3,382.7,4877.3,5260.0
China,2005,6,2773.8,2477.9,5251.700000000001
Hong Kong,2015,7,446.4,4794.6,5241.0
Hong Kong,2015,10,349.8,4890.9,5240.7
United States,2015,2,3183.9,2055.3,5239.200000000001
China,2005,4,2733.7,2500.3,5234.0
Hong Kong,2023,5,234.3,4999.1,5233.400000000001
Hong Kong,2018,4,354.8,4878.0,5232.8
Hong Kong,2013,4,486.7,4728.9,5215.599999999999
Hong Kong,2011,12,495.7,4708.4,5204.099999999999
Japan,2008,10,3300.6,1900.7,5201.3
South Korea,2024,11,2793.8,2407.2,5201.0
United States,2009,4,3144.0,2056.4,5200.4
Hong Kong,2009,12,464.2,4723.6,5187.8
United States,2009,2,3506.1,1681.0,5187.1
Hong Kong,2017,4,308.2,4871.5,5179.7
United States,2016,2,3094.9,2076.7,5171.6
Japan,2008,5,3049.7,2120.4,5170.1
Japan,2008,9,3182.1,1984.8,5166.9
Hong Kong,2011,3,345.9,4819.8,5165.7
Hong Kong,2010,11,386.3,4777.2,5163.5
Hong Kong,2011,6,332.1,4827.9,5160.0
South Korea,2023,9,3049.6,2109.8,5159.4
Hong Kong,2014,4,454.1,4700.8,5154.900000000001
Hong Kong,2014,11,316.7,4825.2,5141.9
Hong Kong,2015,11,551.6,4589.6,5141.200000000001
Hong Kong,2017,12,373.2,4767.5,5140.7
South Korea,2024,8,2950.2,2185.2,5135.4
Hong Kong,2014,12,297.5,4833.7,5131.2
Hong Kong,2012,9,403.3,4723.5,5126.8
Hong Kong,2012,1,323.7,4798.1,5121.8
South Korea,2023,4,2694.6,2425.0,5119.6
Hong Kong,2020,1,391.4,4726.8,5118.2
Hong Kong,2011,4,430.9,4685.4,5116.299999999999
Hong Kong,2013,5,478.2,4637.7,5115.9
Hong Kong,2015,6,445.3,4666.4,5111.7
Hong Kong,2013,8,255.3,4852.7,5108.0
China,2004,11,2671.6,2434.3,5105.9
Hong Kong,2014,6,351.1,4752.6,5103.700000000001
United States,2003,7,2335.2,2768.5,5103.7
Japan,2011,12,2827.9,2266.3,5094.200000000001
South Korea,2024,2,2957.2,2136.4,5093.6
Hong Kong,2010,7,415.5,4657.5,5073.0
South Korea,2012,11,3519.7,1550.7,5070.4
United States,2003,5,2240.3,2824.9,5065.200000000001
China,2009,2,2357.7,2706.7,5064.4
Hong Kong,2014,5,334.7,4723.7,5058.4
Japan,2010,12,3044.6,2011.5,5056.1
Hong Kong,2010,12,337.4,4717.4,5054.799999999999
Hong Kong,2014,7,417.3,4635.1,5052.400000000001
China,2005,5,2447.5,2604.6,5052.1
Hong Kong,2015,9,357.0,4693.4,5050.4
Hong Kong,2019,2,196.8,4850.9,5047.7
Japan,2018,7,2471.7,2575.0,5046.7
Japan,2024,10,2943.2,2101.9,5045.1
Hong Kong,2013,12,296.7,4745.4,5042.099999999999
Hong Kong,2008,1,520.8,4517.0,5037.8
Japan,2018,11,2615.0,2421.6,5036.6
South Korea,2022,11,2863.0,2165.1,5028.1
South Korea,2023,1,2919.3,2099.7,5019.0
South Korea,2023,7,2618.7,2396.6,5015.299999999999
Japan,2010,3,3060.6,1953.0,5013.6
Hong Kong,2019,6,362.3,4647.6,5009.900000000001
Hong Kong,2013,1,383.1,4625.2,5008.3
Hong Kong,2011,8,368.9,4638.7,5007.599999999999
Hong Kong,2008,7,414.8,4592.5,5007.3
United States,2003,2,2586.7,2420.5,5007.2
Japan,2024,12,2790.1,2208.6,4998.7
Japan,2006,3,2800.9,2194.0,4994.9
Japan,2007,10,3048.4,1945.9,4994.3
Hong Kong,2016,5,296.3,4691.6,4987.900000000001
South Korea,2021,9,2896.7,2086.6,4983.299999999999
Hong Kong,2013,7,399.4,4582.6,4982.0
United States,2003,11,2341.8,2631.5,4973.3
Hong Kong,2017,1,317.4,4654.4,4971.799999999999
Japan,2011,9,2910.9,2057.1,4968.0
Hong Kong,2010,1,431.2,4535.3,4966.5
Hong Kong,2013,3,437.5,4527.4,4964.9
Hong Kong,2011,5,335.4,4623.7,4959.099999999999
United States,2009,5,3091.6,1867.3,4958.9
Japan,2010,6,2914.6,2038.8,4953.4
Hong Kong,2006,9,663.1,4289.5,4952.6
Hong Kong,2017,2,321.7,4627.5,4949.2
South Korea,2023,8,2766.4,2180.3,4946.700000000001
Hong Kong,2012,2,279.0,4666.4,4945.4
Hong Kong,2012,7,366.1,4570.4,4936.5
Hong Kong,2015,5,291.0,4640.3,4931.3
Japan,2008,8,3139.6,1791.0,4930.6
South Korea,2021,10,2662.0,2267.9,4929.9
Japan,2011,7,3050.5,1878.9,4929.4
Japan,2010,10,2885.9,2037.8,4923.7
Japan,2023,10,2352.3,2564.3,4916.6
Japan,2024,11,2879.8,2032.1,4911.9
United States,2003,1,2129.9,2777.6,4907.5
Hong Kong,2012,6,318.1,4585.7,4903.8
South Korea,2023,5,2876.2,2021.2,4897.4
Japan,2006,9,2870.6,2024.4,4895.0
Hong Kong,2010,6,426.8,4465.5,4892.3
Japan,2022,12,2618.3,2271.6,4889.9
Hong Kong,2010,4,364.0,4524.1,4888.1
Japan,2018,3,2570.3,2317.6,4887.9
Hong Kong,2015,8,430.9,4455.6,4886.5
Hong Kong,2012,5,321.8,4560.4,4882.2
Japan,2006,6,2830.3,2048.4,4878.700000000001
United States,2004,1,2297.1,2580.7,4877.799999999999
China,2004,10,2428.1,2448.8,4876.9
Hong Kong,2008,6,456.3,4412.4,4868.7
Hong Kong,2019,7,246.8,4619.2,4866.0
Japan,2020,3,2606.4,2246.8,4853.200000000001
Japan,2005,10,2864.3,1984.0,4848.3
Hong Kong,2020,5,170.7,4674.1,4844.8
Japan,2007,6,2784.9,2043.7,4828.6
Hong Kong,2012,12,296.6,4531.1,4827.700000000001
Japan,2011,10,2676.5,2149.5,4826.0
Japan,2010,9,2905.4,1915.8,4821.2
Hong Kong,2013,6,388.0,4431.1,4819.1
Japan,2010,4,2992.4,1818.6,4811.0
Hong Kong,2007,9,495.9,4300.1,4796.0
Japan,2016,12,2975.4,1813.4,4788.8
Japan,2011,6,2885.5,1901.2,4786.7
Japan,2006,10,2827.7,1958.4,4786.1
South Korea,2021,6,2352.8,2429.5,4782.3
Hong Kong,2010,5,348.1,4432.2,4780.3
South Korea,2021,3,2390.2,2385.8,4776.0
Japan,2011,8,2980.3,1795.2,4775.5
South Korea,2014,4,2712.4,2061.5,4773.9
Japan,2023,11,2432.8,2339.1,4771.9
Japan,2011,11,2681.0,2090.5,4771.5
Japan,2021,7,2562.8,2207.9,4770.700000000001
Hong Kong,2023,4,240.7,4530.0,4770.7
South Korea,2022,2,3042.1,1725.2,4767.3
Hong Kong,2011,7,328.3,4437.8,4766.1
Japan,2007,3,2915.1,1849.7,4764.8
Hong Kong,2015,4,289.8,4471.0,4760.8
South Korea,2013,9,2765.9,1992.9,4758.8
Japan,2008,2,2850.7,1905.4,4756.1
Japan,2018,9,2491.9,2262.6,4754.5
South Korea,2021,8,2540.0,2213.4,4753.4
South Korea,2021,7,2545.7,2203.5,4749.2
Hong Kong,2007,12,540.1,4206.9,4747.0
Hong Kong,2007,10,474.2,4266.9,4741.099999999999
Hong Kong,2014,8,251.4,4482.6,4734.0
Hong Kong,2011,10,237.3,4495.3,4732.6
Hong Kong,2008,3,440.2,4290.0,4730.2
Hong Kong,2007,11,523.5,4205.1,4728.6
China,2005,1,2384.5,2342.2,4726.7
Japan,2009,12,3026.5,1700.1,4726.6
Japan,2021,9,2579.5,2144.3,4723.8
Japan,2025,1,2600.1,2118.7,4718.799999999999
Japan,2021,10,2574.0,2144.3,4718.3
Hong Kong,2012,8,319.4,4397.8,4717.2
Hong Kong,2008,5,459.7,4256.2,4715.9
Japan,2021,11,2508.2,2207.1,4715.299999999999
Hong Kong,2008,10,454.7,4259.1,4713.8
United States,2004,2,2329.8,2377.4,4707.200000000001
Japan,2008,1,2657.3,2047.2,4704.5
Japan,2007,11,2763.1,1940.8,4703.9
Japan,2010,7,2844.6,1858.7,4703.3
Japan,2024,7,2616.3,2084.9,4701.200000000001
Japan,2025,2,2907.4,1791.7,4699.1
Hong Kong,2023,2,159.6,4532.8,4692.400000000001
Japan,2022,2,2496.0,2195.4,4691.4
Hong Kong,2016,1,373.5,4316.8,4690.3
Japan,2010,8,2926.9,1763.0,4689.9
Hong Kong,2007,8,519.8,4169.3,4689.1
Japan,2005,3,2832.9,1849.9,4682.8
Japan,2012,3,2685.5,1995.1,4680.6
Japan,2017,3,2672.8,2004.1,4676.9
Japan,2022,1,2448.7,2225.7,4674.4
South Korea,2012,12,3077.4,1595.7,4673.1
Japan,2006,8,2633.8,2031.4,4665.200000000001
Japan,2017,12,2703.4,1961.8,4665.2
Japan,2006,11,2671.6,1989.8,4661.4
Japan,2006,12,2681.5,1978.8,4660.3
Hong Kong,2006,7,558.4,4101.4,4659.799999999999
Japan,2018,12,2594.3,2055.0,4649.3
Japan,2019,10,2377.5,2270.0,4647.5
China,2009,1,2700.5,1944.0,4644.5
Japan,2018,5,2579.9,2063.8,4643.700000000001
South Korea,2014,3,2548.6,2089.6,4638.2
Japan,2018,8,2276.1,2354.9,4631.0
Japan,2007,8,2820.3,1804.3,4624.6
Japan,2005,12,2761.8,1861.3,4623.1
Hong Kong,2008,8,422.1,4196.7,4618.8
Japan,2007,7,2794.1,1822.8,4616.9
Japan,2021,3,2568.6,2045.4,4614.0
South Korea,2012,3,2589.8,2022.4,4612.200000000001
China,2004,6,2488.1,2121.4,4609.5
Japan,2023,2,2384.1,2221.3,4605.4
Japan,2005,11,2740.1,1863.9,4604.0
South Korea,2013,1,2743.7,1856.8,4600.5
China,2004,8,2471.9,2125.9,4597.8
Hong Kong,2009,9,385.8,4211.9,4597.7
South Korea,2013,3,2679.7,1917.0,4596.7
Japan,2007,12,2810.3,1784.2,4594.5
Hong Kong,2007,6,505.7,4087.5,4593.2
Japan,2004,9,2760.9,1829.4,4590.3
Hong Kong,2009,11,429.2,4154.6,4583.8
Japan,2012,4,2770.4,1812.6,4583.0
Japan,2006,7,2686.6,1896.0,4582.6
Japan,2012,7,2750.9,1831.5,4582.4
Japan,2007,9,2841.1,1738.9,4580.0
Japan,2021,4,2607.1,1965.3,4572.4
Japan,2011,1,2799.0,1768.8,4567.8
Japan,2004,12,2741.0,1826.5,4567.5
Japan,2012,5,2678.2,1887.6,4565.799999999999
Japan,2005,7,2760.6,1803.1,4563.7
Japan,2018,4,2518.8,2037.4,4556.200000000001
Japan,2004,7,2909.1,1644.5,4553.6
Japan,2005,6,2807.0,1741.7,4548.7
Hong Kong,2007,7,485.5,4057.1,4542.6
Japan,2010,11,2759.7,1775.3,4535.0
South Korea,2013,5,2872.6,1660.4,4533.0
Japan,2024,8,2377.9,2153.7,4531.6
Japan,2018,6,2341.4,2189.9,4531.3
Japan,2005,8,2689.5,1839.8,4529.3
